Date,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial Leverage,Detrended Credit-to-GDP Ratio
1/8/1971,0.56,0.34,0.63,-1.87,-1.26,-0.7,
1/15/1971,0.61,0.35,0.67,-1.88,-1.27,-0.71,
1/22/1971,0.67,0.39,0.72,-1.88,-1.29,-0.72,
1/29/1971,0.73,0.45,0.77,-1.88,-1.31,-0.73,
2/5/1971,0.8,0.54,0.82,-1.88,-1.34,-0.74,
2/12/1971,0.85,0.62,0.88,-1.87,-1.36,-0.75,
2/19/1971,0.9,0.69,0.92,-1.87,-1.38,-0.77,
2/26/1971,0.94,0.75,0.96,-1.87,-1.4,-0.79,
3/5/1971,0.97,0.79,1,-1.88,-1.43,-0.81,
3/12/1971,0.99,0.82,1.03,-1.88,-1.45,-0.83,
3/19/1971,1.02,0.85,1.07,-1.89,-1.47,-0.85,
3/26/1971,1.04,0.9,1.12,-1.91,-1.48,-0.87,
4/2/1971,1.08,0.97,1.18,-1.93,-1.5,-0.9,
4/9/1971,1.14,1.07,1.26,-1.95,-1.51,-0.92,
4/16/1971,1.2,1.21,1.34,-1.98,-1.52,-0.94,
4/23/1971,1.28,1.38,1.44,-2,-1.53,-0.96,
4/30/1971,1.35,1.58,1.53,-2.03,-1.53,-0.98,
5/7/1971,1.41,1.78,1.6,-2.06,-1.53,-1,
5/14/1971,1.44,1.95,1.65,-2.09,-1.53,-1.01,
5/21/1971,1.44,2.05,1.66,-2.12,-1.52,-1.03,
5/28/1971,1.4,2.06,1.63,-2.14,-1.51,-1.03,
6/4/1971,1.32,1.94,1.56,-2.16,-1.5,-1.04,
6/11/1971,1.21,1.67,1.46,-2.18,-1.49,-1.04,
6/18/1971,1.09,1.29,1.35,-2.19,-1.48,-1.05,
6/25/1971,0.98,0.83,1.25,-2.19,-1.46,-1.04,
7/2/1971,0.9,0.4,1.17,-2.18,-1.44,-1.04,0.27
7/9/1971,0.87,0.08,1.14,-2.17,-1.43,-1.03,
7/16/1971,0.91,-0.04,1.17,-2.14,-1.41,-1.03,
7/23/1971,1.01,0.11,1.26,-2.11,-1.39,-1.02,
7/30/1971,1.17,0.52,1.41,-2.07,-1.38,-1.01,
8/6/1971,1.38,1.13,1.61,-2.02,-1.36,-1,
8/13/1971,1.61,1.84,1.82,-1.97,-1.35,-0.98,
8/20/1971,1.84,2.5,2.02,-1.91,-1.34,-0.97,
8/27/1971,2.03,2.98,2.2,-1.85,-1.33,-0.96,
9/3/1971,2.17,3.23,2.31,-1.78,-1.32,-0.95,
9/10/1971,2.23,3.23,2.37,-1.72,-1.31,-0.93,
9/17/1971,2.23,3.01,2.35,-1.66,-1.31,-0.92,
9/24/1971,2.17,2.67,2.28,-1.6,-1.31,-0.91,
10/1/1971,2.06,2.27,2.16,-1.54,-1.31,-0.9,0.28
10/8/1971,1.92,1.89,2.01,-1.5,-1.32,-0.88,
10/15/1971,1.77,1.57,1.86,-1.46,-1.32,-0.87,
10/22/1971,1.63,1.33,1.71,-1.42,-1.33,-0.86,
10/29/1971,1.52,1.19,1.6,-1.4,-1.35,-0.85,
11/5/1971,1.44,1.13,1.52,-1.38,-1.36,-0.84,
11/12/1971,1.39,1.15,1.47,-1.38,-1.38,-0.83,
11/19/1971,1.38,1.23,1.46,-1.38,-1.39,-0.82,
11/26/1971,1.38,1.35,1.46,-1.39,-1.41,-0.81,
12/3/1971,1.39,1.49,1.48,-1.41,-1.43,-0.8,
12/10/1971,1.39,1.63,1.49,-1.43,-1.44,-0.79,
12/17/1971,1.38,1.74,1.49,-1.47,-1.45,-0.78,
12/24/1971,1.35,1.79,1.47,-1.5,-1.46,-0.77,
12/31/1971,1.29,1.77,1.43,-1.55,-1.46,-0.77,0.34
1/7/1972,1.21,1.66,1.35,-1.59,-1.46,-0.76,
1/14/1972,1.11,1.49,1.26,-1.64,-1.46,-0.75,
1/21/1972,0.99,1.28,1.15,-1.69,-1.45,-0.74,
1/28/1972,0.88,1.08,1.04,-1.73,-1.44,-0.74,
2/4/1972,0.77,0.9,0.94,-1.78,-1.42,-0.73,
2/11/1972,0.68,0.75,0.85,-1.82,-1.4,-0.72,
2/18/1972,0.6,0.64,0.77,-1.86,-1.38,-0.72,
2/25/1972,0.53,0.54,0.7,-1.9,-1.35,-0.71,
