negative,positive,sentiment,sentimentIndex,file,year,month,monthNum,nextMonthCPI,previousMonthCPI,meetingDateFriday
6,23,17,0.586206897,December2017 (12-13-2017).txt,2017,December,12,247.867,246.669,12/15/2017
6,17,11,0.47826087,February2017 (02-01-2017).txt,2017,February,2,243.801,242.839,2/3/2017
6,13,7,0.368421053,July2017 (07-26-2017).txt,2017,July,7,245.519,244.955,7/28/2017
6,16,10,0.454545455,June2017 (06-14-2017).txt,2017,June,6,244.786,244.733,6/16/2017
6,17,11,0.47826087,March2017 (03-15-2017).txt,2017,March,3,244.524,243.603,3/17/2017
7,16,9,0.391304348,May2017 (05-03-2017).txt,2017,May,5,244.955,244.524,5/5/2017
6,15,9,0.428571429,November2017 (11-01-2017).txt,2017,November,11,246.524,246.663,11/3/2017
10,17,7,0.259259259,September2017 (09-20-2017).txt,2017,September,9,246.663,245.519,9/22/2017
5,19,14,0.583333333,August2018 (08-01-2017).txt,2018,August,8,252.439,252.006,8/3/2018
5,20,15,0.6,December2018 (12-19-2018).txt,2018,December,12,251.712,252.038,12/21/2018
5,19,14,0.583333333,January2018 (01-31-2018).txt,2018,January,1,248.991,246.524,2/2/2018
6,25,19,0.612903226,June2018 (06-13-2018).txt,2018,June,6,252.006,251.588,6/15/2018
6,23,17,0.586206897,March2018 (03-21-2018).txt,2018,March,3,250.546,248.991,3/23/2018
5,18,13,0.565217391,May2018 (05-02-2018).txt,2018,May,5,251.989,250.546,5/4/2018
5,17,12,0.545454545,November2018 (11-08-2018).txt,2018,November,11,251.233,252.885,11/9/2018
6,20,14,0.538461538,September2018 (09-26-2018).txt,2018,September,9,252.885,252.146,9/28/2018
7,21,14,0.5,December2019 (12-11-2019).txt,2019,December,12,257.971,257.208,12/13/2019
4,19,15,0.652173913,January2019 (01-30-2019).txt,2019,January,1,252.776,251.233,2/1/2019
5,21,16,0.615384615,July2019 (07-31-2019).txt,2019,July,7,256.558,256.143,8/2/2019
4,18,14,0.636363636,June2019 (06-19-2019).txt,2019,June,6,256.571,256.092,6/21/2019
6,19,13,0.52,March2019 (03-20-2019).txt,2019,March,3,255.548,252.776,3/22/2019
5,22,17,0.62962963,May2019 (05-01-2019).txt,2019,May,5,256.143,255.548,5/3/2019
6,22,16,0.571428571,October2019 (10-11-2019).txt,2019,October,10,257.208,256.759,10/11/2019
7,22,15,0.517241379,October2019 (10-30-2019).txt,2019,October,10,257.208,256.759,11/1/2019
5,22,17,0.62962963,September2019 (09-18-2019).txt,2019,September,9,257.346,256.558,9/20/2019
14,24,10,0.263157895,April2020 (04-29-2020).txt,2020,April,4,256.394,258.115,5/1/2020
13,28,15,0.365853659,December2020 (12-16-2020).txt,2020,December,12,261.582,260.229,12/18/2020
7,21,14,0.5,January2020 (01-29-2020).txt,2020,January,1,258.678,256.974,1/31/2020
12,26,14,0.368421053,July2020 (07-29-2020).txt,2020,July,7,259.918,257.797,7/31/2020
13,26,13,0.333333333,June2020 (06-10-2020).txt,2020,June,6,259.101,256.394,6/12/2020
8,17,9,0.36,March2020 (03-03-2020).txt,2020,March,3,256.389,258.678,3/6/2020
11,35,24,0.52173913,March2020 (03-15-2020).txt,2020,March,3,256.389,258.678,3/20/2020
5,16,11,0.523809524,March2020 (03-23-2020).txt,2020,March,3,256.389,258.678,3/27/2020
13,26,13,0.333333333,November2020 (11-05-2020).txt,2020,November,11,260.474,260.388,11/6/2020
12,31,19,0.441860465,September2020 (09-16-2020).txt,2020,September,9,260.388,259.918,9/18/2020
12,31,19,0.441860465,April2021 (04-28-2021).txt,2021,April,4,269.195,264.877,4/30/2021
12,33,21,0.466666667,December2021 (12-15-2021).txt,2021,December,12,281.148,277.948,12/17/2021
14,28,14,0.333333333,January2021 (01-27-2021).txt,2021,January,1,263.014,260.474,1/29/2021
12,31,19,0.441860465,July2021 (07-28-2021).txt,2021,July,7,273.567,271.696,7/30/2021
11,35,24,0.52173913,June2021 (06-16-2021).txt,2021,June,6,273.003,269.195,6/18/2021
12,28,16,0.4,March2021 (03-17-2021).txt,2021,March,3,267.054,263.014,3/19/2021
12,33,21,0.466666667,November2021 (11-03-2021).txt,2021,November,11,278.802,276.589,11/5/2021
13,31,18,0.409090909,September2021 (09-22-2021).txt,2021,September,9,276.589,273.567,9/24/2021
11,27,16,0.421052632,January2022 (01-26-2022).txt,2022,January,1,283.716,278.802,1/28/2022
12,20,8,0.25,July2022 (07-27-2022).txt,2022,July,7,296.171,296.311,7/29/2022
12,17,5,0.172413793,June2022 (06-15-2022).txt,2022,June,6,296.276,292.296,6/17/2022
11,15,4,0.153846154,March2022 (03-16-2022).txt,2022,March,3,289.109,283.716,3/18/2022
13,20,7,0.212121212,May2022 (05-04-2022).txt,2022,May,5,296.311,289.109,5/6/2022
11,18,7,0.24137931,September2022 (09-21-2022).txt,2022,September,9,298.012,296.171,9/23/2022
